94.223: [GC [PSYoungGen: 320180K->20264K(325888K)] 690201K->397288K(1024960K), 0.0607450 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
94.765: [GC [PSYoungGen: 323304K->10943K(313984K)] 700328K->394857K(1013056K), 0.0470660 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
95.331: [GC [PSYoungGen: 313983K->19474K(325312K)] 697897K->407189K(1024384K), 0.0420040 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
95.809: [GC [PSYoungGen: 320850K->20803K(322240K)] 708565K->417942K(1021312K), 0.0545050 secs] [Times: user=0.13 sys=0.00, real=0.05 secs] 
96.248: [GC [PSYoungGen: 322179K->18047K(325504K)] 719318K->422060K(1024576K), 0.0467380 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
96.720: [GC [PSYoungGen: 318975K->17529K(324928K)] 722988K->427448K(1024000K), 0.0473360 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
97.309: [GC [PSYoungGen: 318457K->20407K(325312K)] 728376K->435836K(1024384K), 0.0581630 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
97.797: [GC [PSYoungGen: 322295K->11675K(313600K)] 737724K->432585K(1012672K), 0.0318700 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
98.187: [GC [PSYoungGen: 313563K->17650K(325760K)] 734473K->442893K(1024832K), 0.0606910 secs] [Times: user=0.09 sys=0.00, real=0.06 secs] 
98.630: [GC [PSYoungGen: 319026K->18785K(325120K)] 744269K->452759K(1024192K), 0.0510040 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
99.122: [GC [PSYoungGen: 320161K->18293K(326272K)] 754135K->459891K(1025344K), 0.0574370 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
99.546: [GC [PSYoungGen: 320949K->20737K(323456K)] 762547K->467045K(1022528K), 0.0487090 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
100.075: [GC [PSYoungGen: 323393K->18087K(326272K)] 769701K->472562K(1025344K), 0.0550210 secs] [Times: user=0.10 sys=0.00, real=0.06 secs] 
100.524: [GC [PSYoungGen: 320551K->16417K(325696K)] 775026K->476731K(1024768K), 0.0597340 secs] [Times: user=0.10 sys=0.01, real=0.06 secs] 
101.061: [GC [PSYoungGen: 318881K->21103K(325184K)] 779195K->485747K(1024256K), 0.0707050 secs] [Times: user=0.11 sys=0.00, real=0.07 secs] 
101.559: [GC [PSYoungGen: 323247K->18421K(325824K)] 787891K->491769K(1024896K), 0.0634830 secs] [Times: user=0.11 sys=0.01, real=0.06 secs] 
101.969: [GC [PSYoungGen: 320565K->20143K(325888K)] 793913K->499238K(1024960K), 0.0453310 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
102.344: [GC [PSYoungGen: 322799K->18272K(326080K)] 801894K->505738K(1025152K), 0.0471220 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
102.790: [GC [PSYoungGen: 320927K->18223K(326976K)] 808394K->512247K(1026048K), 0.0561740 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
